owner_acronym,source_year,total_entries,original_contract_entries,amendment_entries,most_recent_entries,original_entries_sum,most_recent_entries_sum
ic,2006,2000,2000,0,1998,78688783.00,78637386.00
ic,2007,1753,1753,0,1742,72750771.00,71824343.00
ic,2008,1687,1687,0,1660,81048003.00,75370114.00
ic,2009,1605,1565,40,1543,71577353.00,69943163.00
ic,2010,1506,1380,126,1335,78930595.00,74898069.00
ic,2011,1450,1261,189,1277,62624485.00,76930645.00
ic,2012,1247,1084,163,1076,53683621.00,62418915.00
ic,2013,1312,1120,192,1081,62899659.00,79726753.00
ic,2014,1225,1008,217,1024,54601405.00,70050953.00
ic,2015,1243,1047,196,1031,57205752.00,72946124.00
ic,2016,1297,1069,228,1021,70554692.78,79035419.72
ic,2017,1502,1233,269,1245,123556192.62,195493993.50
ic,2018,910,675,235,848,46051714.08,144938212.86
ijc,2017,32,32,0,32,989481.17,989481.17
ijc,2018,26,26,0,26,1244091.02,1244091.02
inac,2013,1180,922,258,920,84666853.99,84502313.07
inac,2014,1416,1281,135,1169,331065200.10,301650847.74
inac,2015,982,778,204,787,126900261.85,142842647.33
inac,2016,974,774,200,781,100935635.65,101870159.52
inac,2017,1035,837,198,934,76442556.17,111831314.80
infra,2006,55,55,0,54,8355712.08,1331963.40
infra,2007,107,106,1,105,4480162.97,3950162.97
infra,2008,71,71,0,71,2437634.08,2437634.08
infra,2009,108,108,0,105,7709519.26,7182738.22
infra,2010,106,101,5,101,8165462.18,8209818.22
infra,2011,83,72,11,74,3581271.26,5167157.88
infra,2012,64,58,6,56,3400209.19,16546153.22
infra,2013,48,42,6,39,1755144.03,9429384.45
infra,2014,85,76,9,72,5840144.15,4917989.35
infra,2015,90,78,12,75,4651565534.91,75291213.80
infra,2016,143,122,21,118,14598228.84,9996383.33
infra,2017,121,96,25,99,12986628.05,15687269.62
infra,2018,100,79,21,95,8396236.65,4756694669.52
ircc,2010,1061,971,90,867,230742797.05,126115334.83
ircc,2011,873,692,181,679,243067605.49,74113537.44
ircc,2012,948,680,268,648,171696497.81,138970177.04
ircc,2013,910,639,271,643,74232867.57,177693458.64
ircc,2014,740,561,179,583,70704669.88,181047710.41
ircc,2015,829,652,177,647,376557395.01,361390951.03
ircc,2016,765,581,184,541,92421074.70,90942041.81
ircc,2017,810,517,293,585,144260535.26,481284681.19
ircc,2018,611,432,179,522,73997884.06,241142871.64
isc,2017,192,168,24,160,17539210.23,17326476.00
isc,2018,166,143,23,151,25158347.61,25524204.17
just,2003,2,2,0,2,38254.10,38254.10
just,2004,717,717,0,714,25009210.50,24572522.55
just,2005,755,752,3,752,26937020.63,27300599.42
just,2006,582,582,0,579,23021704.80,22360810.11
just,2007,627,627,0,615,28691183.13,26616626.81
just,2008,731,731,0,660,33141105.10,24412962.45
just,2009,810,680,130,719,36253479.02,49601033.25
just,2010,631,567,64,561,29806788.88,36861635.78
just,2011,663,581,82,563,39256846.62,37655508.78
just,2012,474,369,105,378,27938463.58,36644083.86
just,2013,529,442,87,434,30524083.53,35571240.36
just,2014,416,314,102,314,21526814.48,24290961.03
just,2015,546,443,103,468,24612201.35,40504053.49
just,2016,436,377,59,400,28406039.15,38414379.62
just,2017,380,367,13,371,22414156.31,31970106.25
just,2018,326,310,16,319,38691266.71,42988162.21
lac,2012,77,77,0,64,2088176.30,1281719.56
lac,2013,283,246,37,232,14605572.97,12626082.52
lac,2014,235,190,45,188,11566324.51,14417578.07
lac,2015,192,151,41,156,11541024.74,14431744.45
lac,2016,181,139,42,140,12971742.64,9225400.58
lac,2017,196,148,48,161,9888910.85,16287803.28
lac,2018,136,120,16,130,12269754.36,13804550.77
mgerc,2015,2,2,0,2,15220.35,15220.35
mgerc,2016,50,49,1,49,670784.74,695644.74
mgerc,2017,17,16,1,14,679872.43,570440.97
mgerc,2018,12,10,2,12,199284.10,387714.28
mpcc,2016,21,18,3,18,526236.33,526236.33
mpcc,2017,25,22,3,21,725093.88,915540.90
mpcc,2018,20,19,1,20,369771.20,403671.20
neb,2015,76,69,7,65,6555478.21,6463177.71
neb,2016,229,207,22,191,27057402.53,24550969.10
neb,2017,216,174,42,180,35695262.77,39072332.77
neb,2018,134,107,27,121,12964202.60,17163010.82
neb,2019,2,2,0,2,40950.00,40950.00
nfb,2016,46,46,0,46,2783976.50,2783976.50
nfb,2017,216,214,2,214,9064935.25,9064935.25
nfb,2018,120,113,7,113,4562771.72,4956564.41
nrc,2009,2828,2677,151,2587,162278503.00,128107553.00
nrc,2010,2723,2528,195,2511,159036585.00,130090470.00
nrc,2011,2435,2223,212,2225,246345210.00,149460803.00
nrc,2012,2026,1843,183,1829,86380016.00,95983200.00
nrc,2013,2375,2143,232,2129,128339034.00,129422358.00
nrc,2014,2261,2045,216,2021,298272080.00,309028582.00
nrc,2015,2661,2362,299,2317,141088124.00,138016231.00
nrc,2016,2874,2465,409,2436,154946950.34,144409436.30
nrc,2017,3021,2559,462,2610,192985022.93,220976851.46
nrc,2018,1796,1525,271,1665,85231211.91,222437217.93
nrcan,2011,2097,2085,12,2036,119541197.64,113405676.05
nrcan,2012,1962,1859,103,1872,152690986.29,135252494.19
nrcan,2013,1907,1805,102,1704,164685144.45,134110846.83
nrcan,2014,2061,1854,207,1836,108005285.82,111589180.15
nrcan,2015,1988,1774,214,1775,126521422.07,184140187.96
nrcan,2016,2067,1849,218,1835,107571852.49,117596797.97
nrcan,2017,2144,1905,239,1942,118227878.50,151013678.17
nrcan,2018,1320,1156,164,1261,65983748.30,120096452.94
nserc,2017,146,141,5,127,13828072.82,11273372.52
nserc,2018,111,96,15,110,7899764.18,12826720.10
oag,2016,81,79,2,70,3942206.98,3770983.73
oag,2017,195,178,17,176,7088859.14,7158097.06
oag,2018,118,98,20,109,3990013.66,5096856.40
oci,2016,3,2,1,1,395025.70,88479.00
oci,2017,5,3,2,4,63999.81,439970.67
oci,2018,3,3,0,3,217751.00,217751.00
ocl,2017,17,17,0,17,999678.81,999678.81
ocl,2018,5,5,0,5,501959.68,501959.68
ocol,2016,22,22,0,21,790384.81,713417.87
ocol,2017,85,82,3,80,3382845.15,3463157.50
ocol,2018,31,27,4,30,855362.70,1408022.74
oic,2017,32,32,0,31,2759956.64,2535871.89
oic,2018,40,38,2,39,3196639.68,3462481.15
opc,2018,67,63,4,63,3131385.88,3171020.63
