owner_acronym,source_fiscal,total_entries,total_contracts,total_amendments
csps,201617-Q1,23,22,1
csps,201617-Q2,20,19,1
csps,201617-Q3,23,20,3
csps,201617-Q4,39,34,5
csps,201718-Q1,24,18,6
csps,201718-Q2,11,9,2
csps,201718-Q3,14,13,1
csps,201718-Q4,30,25,5
csps,201819-Q1,30,20,10
csps,201819-Q2,26,23,3
csps,201819-Q3,38,33,5
cta,201516-Q4,22,22,0
cta,201617-Q1,19,15,4
cta,201617-Q2,9,5,4
cta,201617-Q3,9,5,4
cta,201617-Q4,17,12,5
cta,201718-Q1,18,8,10
cta,201718-Q2,16,13,3
cta,201718-Q3,12,7,5
cta,201718-Q4,34,27,7
cta,201819-Q1,22,12,10
cta,201819-Q2,17,13,4
cta,201819-Q3,32,15,17
dfo,201011-Q1,1659,1575,84
dfo,201011-Q2,1578,1327,251
dfo,201011-Q3,1624,1264,360
dfo,201011-Q4,2240,1731,509
dfo,201112-Q1,1729,1274,455
dfo,201112-Q2,1388,1047,341
dfo,201112-Q3,1358,1025,333
dfo,201112-Q4,2200,1685,515
dfo,201213-Q1,1427,1038,389
dfo,201213-Q2,1379,1075,304
dfo,201213-Q3,1419,1083,336
dfo,201213-Q4,2090,1618,472
dfo,201314-Q1,1399,1040,359
dfo,201314-Q2,1228,961,267
dfo,201314-Q3,1314,1017,297
dfo,201314-Q4,1800,1409,391
dfo,201415-Q1,1356,1004,352
dfo,201415-Q2,1274,1032,242
dfo,201415-Q3,1298,1029,269
dfo,201415-Q4,1968,1568,400
dfo,201516-Q1,1453,1071,382
dfo,201516-Q2,1525,1209,316
dfo,201516-Q3,1666,1236,430
dfo,201617-Q1,1762,1418,344
dfo,201617-Q2,1775,1449,326
dfo,201617-Q3,1723,1330,393
dfo,201617-Q4,2462,2034,428
dfo,201718-Q1,1585,1254,331
dfo,201718-Q2,1538,1313,225
dfo,201718-Q3,1702,1406,296
dfo,201718-Q4,2264,1855,409
dfo,201819-Q1,1601,1280,321
dfo,201819-Q2,1501,1277,224
dfo,201819-Q3,1616,1336,280
dnd,1999100-Q4,2,2,0
dnd,200203-Q1,1,1,0
dnd,200203-Q2,1,1,0
dnd,200203-Q4,2,2,0
dnd,200304-Q4,186,186,0
dnd,200405-Q1,1611,1611,0
dnd,200405-Q2,2046,2039,7
dnd,200405-Q3,1427,1426,1
dnd,200405-Q4,3746,3740,6
dnd,200506-Q1,1621,1613,8
dnd,200506-Q2,2316,2290,26
dnd,200506-Q3,2421,2392,29
dnd,200506-Q4,827,792,35
dnd,200607-Q1,719,703,16
dnd,200607-Q2,766,734,32
dnd,200607-Q3,2106,2069,37
dnd,200607-Q4,840,774,66
dnd,200708-Q1,1760,1745,15
dnd,200708-Q2,1889,1882,7
dnd,200708-Q3,2146,2139,7
dnd,200708-Q4,2825,2814,11
dnd,200809-Q1,1791,1778,13
dnd,200809-Q2,2095,2075,20
dnd,200809-Q3,3477,3218,259
dnd,200809-Q4,5930,5493,437
dnd,200910-Q1,4335,3790,545
dnd,200910-Q2,3899,3317,582
dnd,200910-Q3,2967,2584,383
dnd,200910-Q4,4218,3759,459
dnd,201011-Q1,3202,2817,385
dnd,201011-Q2,3895,3413,482
dnd,201011-Q3,4254,3798,456
dnd,201011-Q4,6265,5470,795
dnd,201112-Q1,4461,3694,767
dnd,201112-Q2,5363,4904,459
dnd,201112-Q3,8410,8206,204
dnd,201112-Q4,5810,5219,591
dnd,201213-Q1,3861,3479,382
dnd,201213-Q2,3832,3509,323
dnd,201213-Q3,4078,3642,436
dnd,201213-Q4,3887,3397,490
dnd,201314-Q1,3331,3047,284
dnd,201314-Q2,3984,3655,329
dnd,201314-Q3,4570,4507,63
dnd,201314-Q4,4196,3777,419
dnd,201415-Q1,3228,2922,306
dnd,201415-Q2,3260,2947,313
dnd,201415-Q3,4108,3831,277
dnd,201415-Q4,7773,7683,90
dnd,201516-Q1,3534,3257,277
dnd,201516-Q2,6173,6165,8
dnd,201516-Q3,4002,3686,316
dnd,201516-Q4,4580,4159,421
dnd,201617-Q1,3494,3189,305
dnd,201617-Q2,2805,2552,253
dnd,201617-Q3,2056,1895,161
dnd,201617-Q4,3033,2759,274
dnd,201718-Q1,3038,2746,292
dnd,201718-Q2,2691,2433,258
dnd,201718-Q3,3489,3214,275
dnd,201718-Q4,5333,4838,495
dnd,201819-Q1,6035,5384,651
dnd,201819-Q2,4181,3725,456
dnd,201819-Q3,4477,4061,416
ec,200405-Q1,771,771,0
ec,200405-Q2,670,669,1
ec,200405-Q3,540,540,0
ec,200405-Q4,1068,1066,2
ec,200506-Q1,615,615,0
ec,200506-Q2,482,481,1
ec,200506-Q3,647,645,2
ec,200506-Q4,991,990,1
ec,200607-Q1,542,542,0
ec,200607-Q2,487,487,0
ec,200607-Q3,529,529,0
ec,200607-Q4,1094,1092,2
ec,200708-Q1,629,629,0
ec,200708-Q2,526,525,1
ec,200708-Q3,613,613,0
ec,200708-Q4,1202,1200,2
ec,200809-Q1,815,815,0
ec,200809-Q2,685,685,0
ec,200809-Q3,816,816,0
ec,200809-Q4,1391,1389,2
ec,200910-Q1,834,829,5
ec,200910-Q2,865,814,51
ec,200910-Q3,1094,910,184
ec,200910-Q4,1456,1344,112
ec,201011-Q1,1268,970,298
ec,201011-Q2,837,740,97
ec,201011-Q3,938,807,131
ec,201011-Q4,1157,1042,115
ec,201112-Q1,906,698,208
ec,201112-Q2,718,631,87
ec,201112-Q3,976,875,101
ec,201112-Q4,1360,1256,104
ec,201213-Q1,967,757,210
