owner_acronym,source_year,total_original_entries,entries_below_25k,entries_above_25k,original_sum_below_25k,original_sum_above_25k
esdc,2014,1131,446,685,8118035.74,745836347.04
esdc,2015,1120,387,733,7175444.16,229783831.10
esdc,2016,1169,427,742,7632550.44,2394703278.56
esdc,2017,927,372,555,6730587.84,117555913.90
esdc,2018,581,250,331,4683192.32,68380509.49
fcac,2004,31,23,8,342062.23,656075.44
fcac,2005,30,21,9,356539.43,358095.62
fcac,2006,34,17,17,271385.71,1027200.15
fcac,2007,48,27,21,475242.14,962245.72
fcac,2008,42,24,18,417709.36,824201.69
fcac,2009,62,37,25,582047.67,1988065.17
fcac,2010,77,44,33,810551.11,2377227.74
fcac,2011,72,47,25,810489.36,1281197.67
fcac,2012,62,40,22,675986.74,5995967.81
fcac,2013,39,27,12,480056.01,353665.67
fcac,2014,66,30,36,561117.99,2155621.84
fcac,2015,52,33,19,603199.89,1896717.65
fcac,2016,51,35,16,616242.03,1011400.80
fcac,2017,82,46,36,820862.43,3724445.47
fcac,2018,56,31,25,537142.66,3054616.90
feddev,2009,60,38,22,674310.08,2268983.00
feddev,2010,135,93,42,1497769.74,2945299.28
feddev,2011,77,43,34,742206.93,1814657.50
feddev,2012,77,34,43,567831.45,1986633.96
feddev,2013,42,22,20,336348.50,1384301.05
feddev,2014,51,28,23,480841.15,3253418.39
feddev,2015,39,26,13,402845.27,718447.99
feddev,2016,32,20,12,328624.69,613946.94
feddev,2017,28,19,9,275500.59,513513.87
feddev,2018,13,8,5,114819.99,244770.16
fin,2004,245,171,74,3078623.22,8892206.60
fin,2005,364,219,145,3863611.96,18165234.86
fin,2006,365,235,130,4124220.70,13786395.07
fin,2007,380,225,155,4096063.12,13609321.50
fin,2008,267,165,102,2868354.35,26697494.77
fin,2009,224,134,90,2179874.96,21709226.68
fin,2010,167,112,55,1843935.27,14565851.23
fin,2011,179,91,88,1566483.38,21483001.32
fin,2012,111,72,39,1065654.09,17804409.08
fin,2013,102,55,47,916659.02,15699403.14
fin,2014,126,83,43,1314092.34,15893193.43
fin,2015,82,45,37,739642.75,5180621.30
fin,2016,128,81,47,1404373.42,6563813.46
fin,2017,110,70,40,1165896.63,5650483.12
fin,2018,77,43,34,786756.44,3699719.78
fintrac,2004,40,25,15,447791.81,1266896.82
fintrac,2005,61,43,18,720736.73,838427.27
fintrac,2006,81,47,34,772852.16,1477044.16
fintrac,2007,127,89,38,1557128.78,1898603.37
fintrac,2008,63,34,29,608990.69,3028826.55
fintrac,2009,65,43,22,749632.00,1468741.32
fintrac,2010,75,44,31,728774.83,1516337.62
fintrac,2011,90,53,37,823411.18,2827156.28
fintrac,2012,70,43,27,729702.79,2375110.81
fintrac,2013,24,12,12,219845.22,841897.18
fintrac,2014,18,9,9,139008.21,1304708.84
fintrac,2015,17,11,6,162413.86,591499.61
fintrac,2016,30,17,13,286337.96,921820.02
fintrac,2017,35,20,15,318796.99,1489776.96
fintrac,2018,24,8,16,134601.37,1459216.93
fja,2007,21,17,4,249148.55,218530.66
fja,2008,47,38,9,635362.21,378580.75
fja,2009,62,46,16,818221.98,1315645.32
fja,2010,77,60,17,1039996.94,1046347.61
fja,2011,115,85,30,1509113.13,2005940.58
fja,2012,94,65,29,1121565.40,1385406.06
fja,2013,94,69,25,1124537.18,1650803.83
fja,2014,83,59,24,991189.01,1699394.89
fja,2015,84,64,20,1108431.20,1879958.65
fja,2016,77,56,21,928368.49,1120748.15
fja,2017,85,64,21,1050124.17,2294770.72
fja,2018,54,43,11,696822.97,1313765.00
fpcc,2016,1,0,1,0.00,60000.00
fpcc,2017,2,1,1,12976.38,54952.00
fpcc,2018,5,5,0,78945.00,0.00
gac,2004,1790,1147,643,19586368.96,82690240.59
gac,2005,2040,1217,823,22073153.51,134581677.39
gac,2006,3355,2139,1216,36752517.25,169381970.63
gac,2007,3061,1953,1108,33605043.81,120766491.89
gac,2008,2353,1472,881,24735888.43,133347372.32
gac,2009,2426,1608,818,27698062.62,132974719.48
gac,2010,3072,2082,990,35204657.82,192852685.60
gac,2011,2766,1853,913,32132372.69,149078120.47
gac,2012,2403,1512,891,25095065.68,215435721.70
gac,2013,2557,1547,1010,25617426.82,306734649.35
gac,2014,2784,1738,1046,28150055.91,198070805.84
gac,2015,2682,1691,991,28513460.62,222010025.57
gac,2016,2638,1741,897,29365446.63,169407140.87
gac,2017,3601,2414,1187,41490017.56,356503187.33
gac,2018,2462,1569,893,26164989.27,180704698.63
hc,2010,1527,958,569,16581622.37,52597781.89
hc,2011,2740,1731,1009,30107406.24,133589126.56
hc,2012,2127,1299,828,22156955.24,158609506.00
hc,2013,1953,1096,857,19179498.46,135760777.33
hc,2014,1958,1076,882,19058862.31,449360136.87
hc,2015,1662,972,690,17236173.01,138054092.75
hc,2016,1680,946,734,16705729.86,152852264.57
